space,vpu_pair,channel_partner,n_space,rho_S_pred,rho_S_obs,ci_lo,ci_hi,abs_error,signed_err_obs_minus_pred,pred_in_CI
alexnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1995,0.8331,0.8592,0.8438,0.8734,0.0261,0.0261,False
alexnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1995,0.833,0.8596,0.8444,0.8729,0.0266,0.0266,False
alexnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1995,0.825,0.8982,0.8868,0.9088,0.0732,0.0732,False
densenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1976,0.8657,0.9118,0.9,0.9229,0.0461,0.0461,False
densenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1976,0.8665,0.9125,0.9013,0.9229,0.046,0.046,False
densenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1976,0.8369,0.9114,0.9016,0.9202,0.0745,0.0745,False
googlenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,2000,0.9757,0.9734,0.9706,0.9757,0.0023,-0.0023,False
googlenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,2000,0.9784,0.9788,0.9765,0.9807,0.0004,0.0004,True
googlenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,2000,0.9487,0.9685,0.9652,0.9714,0.0198,0.0198,False
mnasnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1999,0.9219,0.9197,0.9109,0.9273,0.0022,-0.0022,True
mnasnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1999,0.9221,0.9256,0.9173,0.933,0.0035,0.0035,True
mnasnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1999,0.8957,0.9009,0.8908,0.9104,0.0052,0.0052,True
mobilenetv1s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1996,0.8109,0.8001,0.7816,0.8165,0.0108,-0.0108,True
mobilenetv1s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1996,0.8118,0.8253,0.809,0.8413,0.0135,0.0135,True
mobilenetv1s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1996,0.7858,0.8515,0.8364,0.8648,0.0657,0.0657,False
mobilenetv2s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1998,0.9214,0.9156,0.9066,0.9236,0.0058,-0.0058,True
mobilenetv2s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1998,0.9221,0.9278,0.9197,0.9351,0.0057,0.0057,True
mobilenetv2s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1998,0.9002,0.9631,0.9588,0.9667,0.0629,0.0629,False
mobilenetv3s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,2000,0.9793,0.9009,0.8929,0.9075,0.0784,-0.0784,False
mobilenetv3s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,2000,0.9797,0.9107,0.9032,0.917,0.069,-0.069,False
mobilenetv3s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,2000,0.9775,0.8853,0.8764,0.8928,0.0922,-0.0922,False
proxylessnass,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,2000,0.9003,0.8757,0.8634,0.8867,0.0246,-0.0246,False
proxylessnass,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,2000,0.9033,0.9008,0.8906,0.9098,0.0025,-0.0025,True
proxylessnass,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,2000,0.8675,0.9641,0.9598,0.9677,0.0966,0.0966,False
resnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1868,0.9181,0.9385,0.93,0.9464,0.0204,0.0204,False
resnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1868,0.9184,0.9198,0.908,0.93,0.0014,0.0014,True
resnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1868,0.9095,0.9153,0.903,0.9266,0.0058,0.0058,True
squeezenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1999,0.9649,0.9815,0.9792,0.9832,0.0166,0.0166,False
squeezenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1999,0.9653,0.9815,0.9793,0.9831,0.0162,0.0162,False
squeezenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1999,0.9579,0.9797,0.9776,0.9814,0.0218,0.0218,False
vggs,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1812,0.9676,0.9658,0.9612,0.9697,0.0018,-0.0018,True
vggs,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1812,0.9676,0.9655,0.9608,0.9694,0.0021,-0.0021,True
vggs,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1812,0.9632,0.9614,0.9565,0.9655,0.0018,-0.0018,True
