param,epoch,n,corr
prm__steps_per_epoch,1,84,0.25250582160575075
prm__steps_per_epoch,2,59,0.512156633547633
prm__steps_per_epoch,3,59,0.5708942139099942
prm__steps_per_epoch,4,59,0.5188194038573933
prm__steps_per_epoch,5,59,0.5510812390414962
prm__steps_per_epoch,6,59,0.5464640561075395
prm__steps_per_epoch,7,59,0.6179427235534775
prm__steps_per_epoch,8,59,0.6150789012273524
prm__steps_per_epoch,9,59,0.56697837521917
prm__steps_per_epoch,10,59,0.6409117475160725
prm__steps_per_epoch,11,59,0.5628872004675628
prm__steps_per_epoch,12,59,0.5246639392168323
prm__steps_per_epoch,13,59,0.6392168322618352
prm__steps_per_epoch,14,59,0.5448275862068965
prm__steps_per_epoch,15,59,0.5528345996493279
prm__steps_per_epoch,16,59,0.5597895967270602
prm__steps_per_epoch,17,58,0.5337906425912824
prm__steps_per_epoch,18,58,0.549109477375496
prm__steps_per_epoch,19,58,0.6266879940939433
prm__steps_per_epoch,20,58,0.5774093328001476
prm__steps_per_epoch,21,58,0.5591374696237965
prm__steps_per_epoch,22,58,0.5889753606693531
prm__steps_per_epoch,23,58,0.5717493617152173
prm__steps_per_epoch,24,58,0.6549263280937586
prm__steps_per_epoch,25,58,0.6143837091267034
prm__steps_per_epoch,26,58,0.5995570457411794
prm__steps_per_epoch,27,58,0.647912885662432
prm__steps_per_epoch,28,58,0.6097696022639885
prm__steps_per_epoch,29,58,0.6257651727214002
prm__steps_per_epoch,30,58,0.549417084499677
prm__steps_per_epoch,31,58,0.6296410224860808
prm__steps_per_epoch,32,58,0.6539419852963795
prm__steps_per_epoch,33,58,0.5388353994278507
prm__steps_per_epoch,34,58,0.5935894675320681
prm__steps_per_epoch,35,58,0.5618444123165892
prm__steps_per_epoch,36,58,0.6681534344335415
prm__steps_per_epoch,37,58,0.6415146574794672
prm__steps_per_epoch,38,58,0.5780245470485097
prm__steps_per_epoch,39,58,0.632163400904365
prm__steps_per_epoch,40,58,0.5858992894275431
prm__steps_per_epoch,41,58,0.6141991448521947
prm__steps_per_epoch,42,58,0.6201052016364699
prm__steps_per_epoch,43,58,0.6165984804208066
prm__steps_per_epoch,44,58,0.568550247623735
prm__steps_per_epoch,45,58,0.6271186440677966
prm__steps_per_epoch,46,58,0.5539696699375558
prm__steps_per_epoch,47,58,0.6075548309698853
prm__steps_per_epoch,48,58,0.5572918268787105
prm__steps_per_epoch,49,58,0.5741486972838291
prm__steps_per_epoch,50,58,0.5569842197545295
prm__steps_per_epoch,51,51,0.531131221719457
prm__steps_per_epoch,52,51,0.45647058823529413
prm__steps_per_epoch,53,51,0.5801809954751131
prm__steps_per_epoch,54,51,0.5204524886877828
prm__steps_per_epoch,55,51,0.5589140271493213
prm__steps_per_epoch,56,51,0.5310407239819005
prm__steps_per_epoch,57,51,0.5549321266968326
prm__steps_per_epoch,58,51,0.48407239819004527
prm__steps_per_epoch,59,51,0.5142986425339366
prm__steps_per_epoch,60,51,0.49131221719457013
prm__steps_per_epoch,61,51,0.5523981900452488
prm__steps_per_epoch,62,51,0.5024434389140271
prm__steps_per_epoch,63,51,0.5223529411764706
prm__steps_per_epoch,64,51,0.4771945701357466
prm__steps_per_epoch,65,51,0.5522171945701357
prm__steps_per_epoch,66,51,0.4734841628959276
prm__steps_per_epoch,67,51,0.5151131221719457
prm__steps_per_epoch,68,51,0.4976470588235294
prm__steps_per_epoch,69,51,0.5826244343891402
prm__steps_per_epoch,70,51,0.5195475113122172
prm__steps_per_epoch,71,51,0.5856108597285068
prm__steps_per_epoch,72,51,0.5261538461538462
prm__steps_per_epoch,73,51,0.5417194570135747
prm__steps_per_epoch,74,51,0.5676923076923077
prm__steps_per_epoch,75,51,0.5381900452488688
prm__steps_per_epoch,76,50,0.6122929171668667
prm__steps_per_epoch,77,50,0.521344537815126
prm__steps_per_epoch,78,50,0.53046818727491
prm__steps_per_epoch,79,50,0.4911884753901561
prm__steps_per_epoch,80,50,0.552749099639856
prm__steps_per_epoch,81,50,0.5470828331332533
prm__steps_per_epoch,82,50,0.5024249699879952
prm__steps_per_epoch,83,50,0.49675870348139256
prm__steps_per_epoch,84,50,0.5333493397358944
prm__steps_per_epoch,85,50,0.5695558223289315
prm__steps_per_epoch,86,50,0.5166386554621849
prm__steps_per_epoch,87,50,0.5569747899159664
prm__steps_per_epoch,88,50,0.5315246098439376
prm__steps_per_epoch,89,50,0.5470828331332533
prm__steps_per_epoch,90,50,0.5660984393757503
prm__steps_per_epoch,91,50,0.5562064825930372
prm__steps_per_epoch,92,50,0.5507322929171669
prm__steps_per_epoch,93,50,0.5171188475390156
prm__steps_per_epoch,94,50,0.5936614645858344
prm__steps_per_epoch,95,50,0.4920528211284514
prm__steps_per_epoch,96,50,0.5359423769507803
prm__steps_per_epoch,97,50,0.5418967587034814
prm__steps_per_epoch,98,50,0.4600720288115246
prm__steps_per_epoch,99,50,0.5273949579831932
prm__steps_per_epoch,100,50,0.5417046818727491
