param,mutual_info,n_mi,spearman_rho,p_value,n_sp,task,dataset,group_rows,abs_spearman
prm__momentum,0.6242236535464905,47534,0.039579171782451704,6.0118611793557275e-18,47534,img-classification,celeba-gender,47534,0.039579171782451704
prm__lr,0.6015713056385712,47534,0.37941538940550273,0.0,47534,img-classification,celeba-gender,47534,0.37941538940550273
prm__dropout,0.5002601157187394,36386,-0.0215073718287574,4.0802227278963865e-05,36386,img-classification,celeba-gender,47534,0.0215073718287574
prm__batch,0.08058105019503436,47534,-0.2952158099357062,0.0,47534,img-classification,celeba-gender,47534,0.2952158099357062
prm__weight_decay,0.861848161464251,9544,0.0949343652537827,1.4825794225998307e-20,9544,img-classification,cifar-10,119330,0.0949343652537827
prm__mixup_alpha,0.7420207701604862,2422,-0.04547786802165283,0.025211784686697856,2422,img-classification,cifar-10,119330,0.04547786802165283
prm__warmup_epochs,0.7328030160433352,2422,-0.09063304781668227,7.921588617477313e-06,2422,img-classification,cifar-10,119330,0.09063304781668227
prm__lr_schedule,0.724774777099003,5439,-0.06296057680239875,3.3702720014937085e-06,5439,img-classification,cifar-10,119330,0.06296057680239875
prm__momentum,0.4051126610461475,118936,0.10359183237104347,5.047393192690413e-281,118936,img-classification,cifar-10,119330,0.10359183237104347
prm__dropout,0.3888176244816739,83536,0.013669607459953539,7.782638236390236e-05,83536,img-classification,cifar-10,119330,0.013669607459953539
prm__lr,0.2885222805273342,119330,0.026037502806842017,2.34365946045638e-19,119330,img-classification,cifar-10,119330,0.026037502806842017
prm__batch,0.09721334794881242,119330,-0.11537755417995713,0.0,119330,img-classification,cifar-10,119330,0.11537755417995713
prm__epoch,0.0,7371,-0.028914675181267214,0.013044436837466396,7371,img-classification,cifar-10,119330,0.028914675181267214
prm__momentum,0.4136188111788348,62212,0.03765508240367675,5.710961409770317e-21,62212,img-classification,cifar-100,62212,0.03765508240367675
prm__dropout,0.41074570259084364,46174,-0.06356949685608618,1.4647158559698597e-42,46174,img-classification,cifar-100,62212,0.06356949685608618
prm__lr,0.31682239366865694,62212,0.12076361163437235,9.175176431087017e-201,62212,img-classification,cifar-100,62212,0.12076361163437235
prm__batch,0.0847879256939148,62212,-0.03422618578256051,1.3522506432014922e-17,62212,img-classification,cifar-100,62212,0.03422618578256051
prm__momentum,0.19897364614919422,59037,-0.003736999638515898,0.36388742505378924,59037,img-classification,imagenette,59037,0.003736999638515898
prm__dropout,0.18625773869993179,43262,-0.01867166168240178,0.00010281865588791393,43262,img-classification,imagenette,59037,0.01867166168240178
prm__lr,0.18479598548375709,59037,0.09290812551167167,2.5827337239213517e-113,59037,img-classification,imagenette,59037,0.09290812551167167
prm__batch,0.05747416224786672,59037,-0.045327767848057504,3.0962088548380687e-28,59037,img-classification,imagenette,59037,0.045327767848057504
prm__attention_dropout,1.1725601050528622,2389,-0.26675876467049514,3.325455054800958e-40,2389,img-classification,mnist,76210,0.26675876467049514
prm__lr,0.36873846627613993,76210,0.3948118149084907,0.0,76210,img-classification,mnist,76210,0.3948118149084907
prm__momentum,0.3007741166783999,76210,0.03727304648539428,7.5727502115601435e-25,76210,img-classification,mnist,76210,0.03727304648539428
prm__dropout,0.21755656758383513,57657,0.01232737831527531,0.0030755657202410423,57657,img-classification,mnist,76210,0.01232737831527531
prm__batch,0.03450238064381983,76210,-0.095190990120599,7.049894858655688e-153,76210,img-classification,mnist,76210,0.095190990120599
prm__momentum,0.4949743132537794,10596,0.04899993279935283,4.503630041192758e-07,10596,img-classification,places365,10596,0.04899993279935283
prm__lr,0.4175956395741718,10596,0.36945149655570253,0.0,10596,img-classification,places365,10596,0.36945149655570253
prm__dropout,0.3741528871236941,6277,-0.01889303348706536,0.13447558919390953,6277,img-classification,places365,10596,0.01889303348706536
prm__batch,0.08232179735837919,10596,0.028383204541933438,0.003478783344083153,10596,img-classification,places365,10596,0.028383204541933438
prm__momentum,0.5702800175306244,74753,0.0016856952987525798,0.6448857881073243,74753,img-classification,svhn,74753,0.0016856952987525798
prm__lr,0.5160814375093707,74753,0.22717101309693297,0.0,74753,img-classification,svhn,74753,0.22717101309693297
prm__dropout,0.4328128447579811,60547,-0.005429460230141803,0.18155857677480847,60547,img-classification,svhn,74753,0.005429460230141803
prm__batch,0.05172628580202243,74753,-0.15104660835829434,0.0,74753,img-classification,svhn,74753,0.15104660835829434
prm__lr,1.2200444223861586,5953,0.8735979416643966,0.0,5953,txt-generation,wikitext,5953,0.8735979416643966
prm__momentum,1.2051975300116808,5953,0.12274839683273152,2.006073266717004e-21,5953,txt-generation,wikitext,5953,0.12274839683273152
prm__batch,0.0119630354375031,5953,-0.01783405372303148,0.16887764259323174,5953,txt-generation,wikitext,5953,0.01783405372303148
