param,appearances,mean_mi,median_mi,mean_abs_spearman,median_abs_spearman,min_n,max_n
prm__momentum,8,0.5266443436743939,0.4542965622163071,0.04940876970148988,0.038617127093064224,5953,118936
prm__lr,8,0.48927149138302006,0.39316705292515586,0.31051961194798894,0.29831125482631776,5953,119330
prm__batch,8,0.06257124816591911,0.06902760622145054,0.09782527181126745,0.07025937898432826,5953,119330
prm__dropout,7,0.3586576401366713,0.3888176244816739,0.022009715694240196,0.01867166168240178,6277,83536
prm__attention_dropout,1,1.1725601050528622,1.1725601050528622,0.26675876467049514,0.26675876467049514,2389,2389
prm__weight_decay,1,0.861848161464251,0.861848161464251,0.0949343652537827,0.0949343652537827,9544,9544
prm__mixup_alpha,1,0.7420207701604862,0.7420207701604862,0.04547786802165283,0.04547786802165283,2422,2422
prm__warmup_epochs,1,0.7328030160433352,0.7328030160433352,0.09063304781668227,0.09063304781668227,2422,2422
prm__lr_schedule,1,0.724774777099003,0.724774777099003,0.06296057680239875,0.06296057680239875,5439,5439
prm__epoch,1,0.0,0.0,0.028914675181267214,0.028914675181267214,7371,7371
