feature,mean_mic,mean_abs_spearman,n_tests,n_mic_significant
prm__lr,0.22632142857142856,0.3116442380952381,21,21
nn_total_params,0.20369071428571428,0.18195252380952381,21,19
nn_total_layers,0.1872735238095238,0.16568790476190476,21,19
nn_flops,0.1855337142857143,0.17605438095238096,21,20
nn_dropout_count,0.16850757142857142,0.14934714285714287,21,20
nn_max_depth,0.13749585714285714,0.1390737619047619,21,15
prm__batch,0.12454161904761905,0.2062234761904762,21,15
prm__dropout,0.1193607619047619,0.0321767619047619,21,5
prm__momentum,0.11143461904761905,0.05622166666666667,21,7
nn_has_residual,0.09797709523809524,0.0864890476190476,21,5
nn_has_attention,0.06733147619047619,0.06733347619047618,21,5
