Model,Max Accuracy,Early Accuracy (Epoch 2),Improvement,Improvement (%)
AirNet,0.995,0.9718966035467388,0.023103396453261205,2.377145507963508
AirNext,0.9431084818684696,0.6245,0.3186084818684696,51.01817163626414
BagNet,0.9931,0.9694419396854023,0.023658060314597718,2.440379288962379
DarkNet,0.9947,0.97149584209999,0.02320415790001007,2.3884979116175993
Diffuser,0.9527,0.7499248572287346,0.2027751427712654,27.03939478957916
DPN68,0.9774,0.9446448251678189,0.032755174832181155,3.4674592989340836
DPN131,0.9878,0.9401362588918946,0.04766374110810545,5.069875845899723
DPN107,0.954,0.8902414587716662,0.0637585412283338,7.161937988858249
FractalNet,0.9919,0.9535116721771365,0.0383883278228635,4.025994536093313
ICNet,0.9853,0.9173429516080553,0.06795704839194461,7.408030799475744
