feature,n_studies,n_datasets,n_epochs,pooled_dcor,ci_lower,ci_upper,weighted_mean,Q,I2,tau2,p_heterogeneity,dcor_mean_simple,dcor_std,dcor_min,dcor_max,universal
prm__batch,21,7,3,0.234514,0.194535,0.274493,0.298184,2172.7052,99.08,0.007968,0.0,0.227535,0.086353,0.081108,0.436139,False
nn_total_layers,21,7,3,0.172004,0.093296,0.250712,0.231422,8358.9543,99.76,0.032943,0.0,0.173608,0.117262,0.072834,0.507468,False
nn_total_params,21,7,3,0.169667,0.129406,0.209929,0.18815,1982.5898,98.99,0.008075,0.0,0.168364,0.084039,0.057998,0.395081,False
prm__lr,21,7,3,0.168702,0.143644,0.19376,0.171499,701.6075,97.15,0.002856,0.0,0.170178,0.049522,0.0707,0.261338,False
nn_max_depth,21,7,3,0.165557,0.113559,0.217554,0.195477,3418.3865,99.41,0.013932,0.0,0.167936,0.089349,0.053253,0.383029,False
nn_dropout_count,21,7,3,0.16482,0.127036,0.202603,0.19351,1733.5121,98.85,0.007042,0.0,0.164374,0.081644,0.046326,0.40439,False
nn_flops,21,7,3,0.124634,0.063328,0.18594,0.156345,4698.3324,99.57,0.019622,0.0,0.126553,0.090944,0.042872,0.396494,False
nn_has_residual,21,7,3,0.090005,0.031158,0.148851,0.12066,4241.3506,99.53,0.018038,0.0,0.09405,0.098387,0.024348,0.358737,False
prm__momentum,21,7,3,0.070153,0.002245,0.138061,0.115855,5760.6009,99.65,0.024248,0.0,0.072148,0.085521,0.008893,0.383297,False
prm__dropout,21,7,3,0.05824,0.01888,0.0976,0.07043,1281.7479,98.44,0.007273,0.0,0.065844,0.059007,0.011412,0.232949,False
nn_has_attention,21,7,3,0.047419,0.035253,0.059585,0.033981,134.0395,85.08,0.00051,0.0,0.072064,0.061908,0.012409,0.208343,False
