feature,n_studies,n_datasets,n_epochs,pooled_mic,ci_lower,ci_upper,weighted_mean,Q,I2,tau2,p_heterogeneity,mic_mean_simple,mic_std,mic_min,mic_max,universal
prm__lr,21,7,3,0.221341,0.193196,0.249486,0.172043,6684.6249,99.7,0.004131,0.0,0.226321,0.079714,0.098217,0.396372,False
nn_total_params,21,7,3,0.201272,0.173163,0.22938,0.146897,7586.8763,99.74,0.004141,0.0,0.203691,0.110762,0.066254,0.58285,False
nn_total_layers,21,7,3,0.181686,0.152528,0.210844,0.129493,9179.3978,99.78,0.004458,0.0,0.187274,0.106503,0.07564,0.44839,False
nn_flops,21,7,3,0.178253,0.154692,0.201814,0.122098,6113.1462,99.67,0.002861,0.0,0.185534,0.110627,0.061912,0.517254,False
nn_dropout_count,21,7,3,0.163634,0.13661,0.190658,0.109945,8850.1364,99.77,0.003817,0.0,0.168508,0.078135,0.062983,0.357471,False
nn_max_depth,21,7,3,0.133758,0.109254,0.158261,0.095421,8276.826,99.76,0.003132,0.0,0.137496,0.059648,0.046161,0.268041,False
prm__batch,21,7,3,0.119108,0.099427,0.138788,0.08845,5699.7176,99.65,0.001986,0.0,0.124542,0.057647,0.048594,0.2686,False
prm__dropout,21,7,3,0.105533,0.089385,0.121682,0.067878,3430.9146,99.42,0.001239,0.0,0.119361,0.072287,0.051082,0.278733,False
prm__momentum,21,7,3,0.104135,0.084312,0.123958,0.06529,7699.4779,99.74,0.002017,0.0,0.111435,0.072318,0.047206,0.313225,False
nn_has_residual,21,7,3,0.087136,0.072702,0.10157,0.048581,5095.1355,99.61,0.001032,0.0,0.097977,0.069979,0.028557,0.282001,False
nn_has_attention,21,7,3,0.037103,0.032475,0.041732,0.015717,1210.446,98.35,8.4e-05,0.0,0.067331,0.069182,0.007506,0.216397,False
