feature,in_pooled,celeba-gender,cifar-10,cifar-100,imagenette,mnist,places365,svhn
epoch_log,True,24535,70149,36733,32606,38406,2885,41594
nn_total_params,True,24310,69732,36518,32381,38216,2875,41366
nn_flops,True,24310,69732,36518,32381,38216,2875,41366
nn_total_layers,True,24310,69732,36518,32381,38216,2875,41366
nn_max_depth,True,24310,69732,36518,32381,38216,2875,41366
nn_has_attention,True,24310,69732,36518,32381,38216,2875,41366
nn_has_residual,True,24310,69732,36518,32381,38216,2875,41366
nn_dropout_count,True,24310,69732,36518,32381,38216,2875,41366
prm__lr,True,24535,70149,36733,32606,38406,2885,41594
prm__batch,True,24535,70149,36733,32606,38406,2885,41594
prm__dropout,True,20537,50049,26878,24186,29590,2129,34201
prm__momentum,True,24535,70149,36733,32606,38406,2885,41594
