dataset,epoch,epoch_log,n_rows,acc_mean,acc_std,acc_min,acc_max,znorm_ds_mean,znorm_ds_std
celeba-gender,1,0.0,14388,0.707148,0.134647,0.60004,0.971195,-0.166499,0.909475
celeba-gender,5,1.6094,9734,0.762998,0.158283,0.601443,0.980262,0.210744,1.069119
celeba-gender,50,3.912,413,0.855186,0.1442,0.612664,0.98407,0.833423,0.973997
cifar-10,1,0.0,42783,0.377335,0.198091,0.1065,0.9717,-0.276393,0.961392
cifar-10,5,1.6094,25260,0.506705,0.177845,0.1201,0.9614,0.351478,0.863133
cifar-10,50,3.912,2106,0.722572,0.160438,0.1264,0.9379,1.399141,0.778652
cifar-100,1,0.0,20991,0.060804,0.054033,0.0113,0.3599,-0.500125,0.474624
cifar-100,5,1.6094,15347,0.190168,0.124125,0.0121,0.5612,0.636202,1.090304
cifar-100,50,3.912,395,0.329382,0.175246,0.0153,0.7232,1.859038,1.539343
imagenette,1,0.0,18088,0.234706,0.092247,0.100382,0.59949,-0.557567,0.600946
imagenette,5,1.6094,13879,0.420376,0.143415,0.100382,0.762548,0.651988,0.934284
imagenette,50,3.912,639,0.569247,0.167035,0.136051,0.880764,1.621812,1.088154
mnist,1,0.0,21395,0.69073,0.316319,0.1005,0.9932,-0.27445,1.083693
mnist,5,1.6094,16547,0.87014,0.221262,0.1006,0.9959,0.340203,0.758034
mnist,50,3.912,464,0.923399,0.148042,0.1135,0.9968,0.522665,0.507186
places365,1,0.0,1705,0.0884,0.088933,0.003288,0.396329,-0.372317,0.755034
places365,5,1.6094,1092,0.192589,0.125846,0.003288,0.465808,0.512247,1.068427
places365,50,3.912,88,0.233211,0.112695,0.007945,0.454055,0.857124,0.956774
svhn,1,0.0,23222,0.269668,0.18302,0.120083,0.924324,-0.225677,0.760275
svhn,5,1.6094,17729,0.38497,0.279614,0.120045,0.959896,0.253298,1.161534
svhn,50,3.912,643,0.604764,0.309039,0.159381,0.964275,1.166333,1.283768
