stage,complexity,loss,r2_train,equation,features
Stage1_top3,1,0.9984241,0.09684764856183825,-0.000138082100000000,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,3,0.9017294,0.19962038527309323,epoch_log*0.26897314,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,5,0.83929443,0.21469246750748772,epoch_log*0.4446731 - 1*0.32268918,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,7,0.7991186,0.2401295956999694,epoch_log/2.2812383 - 7.915789/nn_total_layers,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,8,0.7945021,0.2413953864773818,0.45632762*epoch_log - log(prm__batch**0.09346366),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,9,0.78407013,0.2453217615467327,(epoch_log - (prm__batch**0.15301935 - 1.1037362))*0.4120152,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,10,0.7733912,0.2470485180817431,0.408186456961146*epoch_log - 0.11414866/sqrt(nn_total_layers/prm__batch),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,11,0.75867313,0.26137271574505405,epoch_log/2.4031012 - 0.12980795/(nn_total_layers/prm__batch + 0.123757556),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,13,0.7574094,0.264147241205026,epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + 2.4675765) + 0.13320917),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,14,0.75348914,0.27464656044087,epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + exp(2.4675765)) + 0.13320917),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,15,0.7517652,0.2747209145907299,epoch_log/2.3175318 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917) - 0.37596714/prm__batch,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,16,0.7374635,0.27567766780812397,epoch_log/2.4675765 - (-2.9465007e-6)*nn_total_layers**2 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,18,0.7357106,,epoch_log/2.4675765 - (-2.9465007e-6)*nn_total_layers**2 - 0.13939767/(nn_total_layers/(prm__batch + 2.4675765) + 0.13320917),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,19,0.73469335,,epoch_log/2.4675765 - (-2.9465007e-6)*nn_total_layers**2 - 0.13939767/(nn_total_layers/(prm__batch + exp(1.4202749)) + 0.13320917),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,20,0.7242105,,epoch_log/2.360404 - (-3.0578146e-6)*nn_total_layers**2 + (-0.09219224 - 3.808635/prm__batch)/(nn_total_layers/prm__batch + 0.084442414),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,21,0.7241364,,epoch_log/2.0836065 - (-3.0578146e-6)*nn_total_layers**2 + (-0.09195858 - 4.282449/Abs(prm__batch))/(nn_total_layers/prm__batch + 0.084442414),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,22,0.72318107,,epoch_log/2.360404 - (-3.0578146e-6)*nn_total_layers**2 + (-0.09219224 - 4.050336/prm__batch)/(nn_total_layers/prm__batch + 0.084442414) + 0.04670892,"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage1_top3,26,0.7188945,,epoch_log/2.360404 - (-3.0578146e-6)*nn_total_layers**2 + (-0.09219224 + (0.34743732 - exp(exp(4.625269/nn_total_layers)))/prm__batch)/(nn_total_layers/prm__batch + 0.084442414),"['epoch_log', 'prm__batch', 'nn_total_layers']"
Stage2_top5,1,0.9984242,0.09684759562902778,-0.000367886820000000,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,3,0.9017294,0.19962188831676064,epoch_log*0.26972932,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,5,0.8392955,0.22961114646164027,epoch_log*0.4447714 - 0.3202212,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,7,0.799117,0.23757448989948904,-(-0.4421982)*epoch_log - 8.099648/nn_total_layers,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,8,0.7864759,0.2498802429404432,0.38985837*epoch_log - 0.38985837*sqrt(prm__batch)/nn_total_layers,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,9,0.76917505,0.25597286983820033,0.48605973*epoch_log - 0.48605973*log(prm__batch)/sqrt(nn_total_layers),"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,11,0.76242125,0.2590609096489279,-(-0.4281436)*epoch_log + prm__batch**0.25653577*(-2.5030782)/nn_total_layers,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,13,0.76122427,0.26195721426305163,-(-0.44009063)*epoch_log + (prm__batch + 3.1103508)**0.25653577*(-2.5030782)/nn_total_layers,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,14,0.7489379,0.26281170687408384,0.40915355*epoch_log + 0.40915355*nn_total_layers**0.17823374 - 0.0173855632085064*sqrt(prm__batch) - 0.8530732,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,16,0.74285483,0.26373930948629565,0.45043927*epoch_log - 0.146643143922622*prm__batch**(1/4) + 0.45043927*log(nn_total_layers**0.5693055) - 0.767586713330096,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,18,0.74197656,,0.45043927*epoch_log - 0.146643143922622*prm__batch**(1/4) + 0.45043927*log((-epoch_log + nn_total_layers)**0.5693055) - 0.767586713330096,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,19,0.7397717,,0.42786747*epoch_log + 0.42786747*nn_total_layers**0.23277387 - 0.42786747*nn_total_layers**log(0.14848408*log(prm__batch) + 0.13229677) - 1.0604634,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,20,0.73696864,,0.42786747*epoch_log + 0.42786747*nn_total_layers**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(prm__batch) - 0.36372623)**2)) - 1.0744716,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,22,0.73687994,,0.42786747*epoch_log + 0.42786747*nn_total_layers**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(prm__batch) - 0.338287794869683)**2)) - 1.0604634,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,23,0.73602676,,0.42786747*epoch_log + 0.42786747*(nn_total_layers - 1.8518286)**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(prm__batch) - 0.36372623)**2)) - 1.0604634,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,24,0.7355844,,0.42786747*epoch_log + 0.42786747*nn_total_layers**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(3.20909071216943*epoch_log + prm__batch) - 0.36372623)**2)) - 1.0744716,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,26,0.7351007,,0.42786747*epoch_log + 0.42786747*(nn_total_layers - 1.8518286)**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(prm__batch + Abs(epoch_log)) - 0.36372623)**2)) - 1.0604634,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
Stage2_top5,28,0.7344549,,0.42786747*epoch_log + 0.42786747*(nn_total_layers - 1.8518286)**0.23277387 - 0.42786747*log(nn_total_layers**((0.14848408*log(0.17132096**(0.5280181 - epoch_log) + prm__batch) - 0.36372623)**2)) - 1.0604634,"['epoch_log', 'prm__batch', 'nn_total_layers', 'nn_max_depth']"
